Rule Name,Category,Category II,Category III,Payer,State,Last Reviewed,Date Updated,Description of Billing Rule (See Conditions tab for alert message),Description,NOTES/Resources,,,,,,,,,,,,,,,,,,,,,,,,
ANEST1,Anesthesia,Modifiers,Coding,,,3/8/23,3/8/23,"Edits indicate that HCPCS anesthesia modifiers (e.g., modifiers AA, AD, G8, G9, QK, QS, QX, QY, & QZ) may be appended to anesthesia codes 00100-01999.",Anesthesia modifiers,https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00144514,,,,,,,,,,,,,,,,,,,,,,,,
ANEST2,Anesthesia,,Coding,,,3/8/23,3/8/23,Edits indicate that physical status modifiers P1-P6 may be appended to anesthesia codes 00100-01999. ,Anesthesia modifiers,https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00144514,,,,,,,,,,,,,,,,,,,,,,,,
ANEST3,Anesthesia,Qualifying Circumstances,Payer,Medicare,,3/8/23,,The Centers for Medicare & Medicaid Services (CMS) does not recognize Qualifying Circumstances for additional payment.,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST4,Anesthesia,,Coding,,,3/8/23,,99100 - Code first primary anesthesia procedure,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST5,Anesthesia,,Coding,,,3/8/23,,99116 - Code first primary anesthesia procedure,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST6,Anesthesia,,Coding,,,3/8/23,,99135 - Code first primary anesthesia procedure,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST7,Anesthesia,,Coding,,,3/8/23,,99140 - Code first primary anesthesia procedure,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST8,Anesthesia,,,,,3/9/23,3/9/23,99100 can only be used for patients over 71 years of age or younger than 1,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST9,Anesthesia/screening colonoscopy,,,,,3/9/23,3/9/23,"If a screening colonoscopy turns diagnostic (polypectomy, biopsy, etc), add modifier 33 (PT for Medicare) to 00811 to show screening was intended. If only screening performed, see 00812.",https://www.findacode.com/articles/ama-vs-medicare-rules-33451.html,,,,,,,,,,,,,,,,,,,,,,,,,
ANEST10,Anesthesia,,Payer,"PeachState,CareSource, GA Medicaid",Georgia,9/11/23,9/11/23,"Do not bill physical status modifiers P1-P6 for Medicaid, Peach State and CareSource. Claim will deny. ",,,,,,,,,,,,,,,,,,,,,,,,,,
ARMCD1,Labs,,Payer,Medicaid,Arkansas,3/8/23,4/6/23,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMCD2,Universal,,Payer,Medicaid,Arkansas,3/9/23,,Arkansas Medicaid requires NDC information.,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMCD3,Universal,,Payer,Medicaid,Arkansas,3/13/23,,Injection administration code is T1502 for Arkansas Medicaid.,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC1,Ambulatory Surgical Center,,Coding,,,5/30/23,5/30/23,The bill type for ambulatory surgical center for a primary claim is 0831.,https://casetext.com/regulation/arkansas-administrative-code/agency-016-department-of-human-services/division-06-medical-services/rule-0160619-014-arkids-first-b,,,,,,,,,,,,,,,,,,,,,,,,,
ASC2,Ambulatory Surgical Center,,Coding,Medicare,,3/9/23,3/9/23,Ambulatory surgical center claims are filed to Medicare on a 1500 claim form.,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC3,Ambulatory Surgical Center,,Coding,,,3/9/23,,The professional component should not be reported on an ASC claim. Review 26 modifier.,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC4,Ambulatory Surgical Center,,Coding,,,3/9/23,,Ambulatory surgical center claims are filed to commercial payers on an UB-04.,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC5,Ambulatory Surgical Center,,Coding,,,3/9/23,3/9/23,Review Global CPT for missing modifier. The technical component should be billed with modifier TC.,,,,,,,,,,,,,,,,,,,,,,,,,,
ASC6,Ambulatory Surgical Center,,Coding,,,3/9/23,,"Review the use of a global modifier in an ASC. Medicare defines the ASC facility’s Global Period to be 24 hours from the time the first procedure begins – it is not 10 or 90 days like the physician’s Global Period might be. However, some payors other than Medicare might consider the Global Period to be 48 – 72 hours for ASC facilities. When a physician performs a staged procedure in an ASC, it is not necessary for the coder to append modifier -58, unless it occurs during the facility's global period, which is 24 hours for an ASC.",,,,,,,,,,,,,,,,,,,,,,,,,,
ASC7,Ambulatory Surgical Center,,Coding,,,3/9/23,,Modifier 53 is for professional physician services and would not apply to ASC procedures. Review modifier 73 and 74 to see which is most appropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO1,Auditory System,(69200-69222) Removal Procedures on the External Ear,Payer,Medicare,,3/9/23,,Medicare considers 69210 to be bilateral. Do not use anatomical modifiers.,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO2,Auditory System,(69200-69222) Removal Procedures on the External Ear,Coding,,,3/9/23,,Review chart - 69209 may be bilateral ,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO3,Auditory System,,Payer,Medicare,,3/9/23,,Medicare only allows 1 unit per day,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO4,Auditory System,,Coding,,,3/9/23,,Modifier 50 is not a valid modifier for 69210,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO5,Auditory System,,Coding,,,3/9/23,,Missing dx for impacted cerumen,,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleId=56454&ver=6,,,,,,,,,,,,,,,,,,,,,,,,
AUDIO6,Auditory System,69209/69210 with E/M on same day,Payer,,,3/9/23,,"An E&M service on the same day as removal of impacted cerumen may not be billed unless it represents a significant, separately identifiable service on the same day. If visit was for the impacted cerumen only, E/M should not be billed in addition to 69209/69210.",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdId=33945&ver=17,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS1,Universal,,Payer,BCBS,Kansas,3/9/23,,BCBS Kansas requires a referring provider on claims,,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS2,Preventive,,Payer,BCBS,Kansas,3/9/23,,"BCBS Kansas requires Z71.41 to be billed with 99408, 99409",,https://www.bcbsks.com/CustomerService/Providers/Publications/professional/manuals/pdf/preventive-services-guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS3,Preventive,,Payer,BCBS,Kansas,3/9/23,3/9/23,"BCBS Kansas requires Z71.89 to be billed with  99401, 99402, 99403, 99404, 99411, 99412",,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS4,Preventive,,Payer,BCBS,Kansas,3/9/23,3/9/23,"BCBS Kansas requires specific dx codes  to be billed with 99406,99407,99411,99412",,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS5,Universal,,Duplicate with another alert,BCBS,Kansas,3/9/23,,BCBS Kansas rejects claims if laterality is unspecified.,,https://www.ask-edi.com/pdf-docs/ICD-10-edit-notification-laterality.pdf,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS6,ICD-10 guidelines,,Payer,BCBS,Kansas,3/9/23,,"BCBS requires a more specified code.  Please see H01.111, H01.112, H01.114, or H01.115.",,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSKS7,Universal,,Payer,BCBS,Kansas,3/9/23,,Add accident date for injury code.,,Need enhancement to rules for alert to not appear when there are issues with the claim,,,,,,,,,,,,,,,,,,,,,,,,
BCBSMI1,Medicine Services and Procedures,Psychiatry,Payer,BCBS,Michigan,3/9/23,3/9/23,"For BCN behavioral health services, always include licensure level (level of care) modifier (for
example:AM, HA, HO, AJ, TD, HE, AH).",https://ereferrals.bcbsm.com/bh-providers-requirements-bcn.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSMS1,NDC,,,BCBS,Mississippi,3/9/23,,BCBS of MS requires NDC info on drug codes,,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSTN1,Universal,,Payer,BlueCare TN,Tennessee,3/9/23,,BlueCare Tenncare requires NDC numbers on drug codes.,https://www.bcbst.com/providers/manuals/BCT_PAM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSTN2,Universal,,Payer,BlueCare TN,Tennessee,,,Use modifier 33 on NON-VFC Flu vaccines.,https://www.bcbst.com/docs/providers/bluealert/2021/bluealert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSTN3,OBGYN,,Payer,BlueCare TN,Tennessee,3/10/23,,Payer requires ICD-10 code for Gestational age (Z3A) on claim. Not a valid primary dx. ,https://www.bcbst.com/providers/manuals/BCT_PAM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSTX1,Incident To Billing,,Payer,BCBS ,Texas,3/10/23,,"Modifier SA is required when a supervising physician bills on behalf of a PA, adult nurse practitioner (ANP), or certified registered nurse first assistant (CRNFA) for non-surgical services.",,"https://www.bcbstx.com/provider/pdf/professional_claims_071712.pdf#targetText=SA%20Modifier%3A%20A%20supervising%20physician,that%20DOES%20NOT%20include%20surgery",,,,,,,,,,,,,,,,,,,,,,,,
BCBSTX2,Preventive,,Payer,BCBS ,Texas,3/10/23,,"Procedure code 96127 is only reimbursable at the preventive level when billed with a diagnosis of Z00.129, Z13.31, Z13.32,Z13.39, Z13.41, or Z13.42. If not preventative, assign corresponding medical dx.        ",https://www.bcbstx.com/docs/provider/tx/standards/clinical-pay-coding/2022/cpcp006-preventive-serv-09012022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
BCBSVA1,CLIA,,Payer,BCBS,Virginia,6/7/23,6/7/23,BCBS of VA require QW modifier.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD1,Vaccine,,Payer,Medicaid,California,3/13/23,,Vaccines supplied by Vaccines For Children (VFC) require a  SL modifier.,https://files.medi-cal.ca.gov/pubsdoco/publications/masters-mtp/part2/vaccine.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD13,Labs,,Payer,Medicaid ,California,,,"Review claim. Providers may not submit the following non-specific diagnosis codes when ordering billing for laboratory procedures: Z00.00, Z00.5, Z00.6, Z00.8, Z01.00, Z01.10, Z01.89, Z02.1 and Z02.3.",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD14,Labs,,Payer,Medicaid ,California,3/13/23,,Modifier TC should be used on appropriate lab codes when pathology services are billed with an E&M procedure performed by the same provider on the same date of service.,,Need CPT conditions enhancement,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD15,Labs,,Payer,Medicaid ,California,3/13/23,3/13/23,Labs may not be eligible for split billing. Review list of CPT codes that are not eligible for TC modifier.,https://files.medi-cal.ca.gov/pubsdoco/publications/masters-mtp/part2/pathbil.pdf,Need CPT conditions enhancement,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD16,Universal,,Payer,Medicaid,California,3/13/23,,"The primary surgeon or podiatrist is required to use modifier AG on the only or highest valued surgical procedure code (HCPCS Z1200 thru Z1212 and CPT® series 10000 thru 69999). Use modifier 51 for second, third or subsequent differing procedures. Use modifier 99 for third or subsequent identical procedures.",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD17,Universal,Surgical modifiers,Payer,Medicaid,California,7/29/21,7/29/21,"For bilateral procedures requiring a separate incision performed at the same operative session, providers should bill the first procedure on the first claim line with the appropriate CPT code followed by modifier AG, which indicates that the procedure is the primary surgery. Providers should bill the second procedure on the next billing line with the appropriate CPT code followed by modifier 50, which indicates the procedure was bilateral.",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD18,Universal ,Incident to,Payer,Medicaid,California,7/29/21,7/29/21,"Include the PA name, provider number and type of NMP-PA in the Remarks field (Box 80)/Additional Claim Information field (Box 19) of the claim (RESERVED FOR LOCAL USE).",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD19,Universal ,Incident to,Payer,Medicaid,California,7/29/21,7/29/21,"Modifier U7 is used to denote services rendered by a PA.  If multiple modifiers are used, use modifier 99.  In RESERVED FOR LOCAL USE, indicate the multiple modifiers.  For example, 99 = U7 + 25",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD20,Universal ,Multiple Modifiers,Payer,Medicaid,California,3/13/23,8/2/21,Modifer 99 is used when two or more modifiers are necessary to completely delineate a service; the multiple modifiers used must be explained in the RESERVED FOR LOCAL BOX box of the claim. Ex: Line 4: 99 = AG + LT,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD21,Medicine Services and Procedures,(97597-97610),Payer,Medicaid,California,3/13/23,8/11/21,CPT codes 97605 thru 97606 (negative pressure wound therapy) are not Medi-Cal benefits. reimbursement for these services is included in the payment for HCPCS code E2402.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD3,Vaccine,,Payer,Medicaid,California,3/13/23,3/13/23,"When billing code 90632, providers must document medical necessity in the Remarks field (Box 80)/Additional Claim Information field (Box 19) of the claim, or as an attachment, as defined by any of the following conditions. If the recipient: •Is a native American Indian or native Alaskan (Eskimo) •Is receiving clotting factor concentrates, especially solvent-detergent treated preparations •Has chronic liver disease •Is a user of illicit injectable or non-injectable “street” drugs •Is a male having sex with other males •Resides in a high-rate hepatitis A community (epidemic occurs every 5 – 10 years, the epidemic lasts for several years, and rates of disease exceeds 700 cases a year per 100,000 population during the outbreaks, and a few cases occur among persons over 15 years of age) •Resides in an intermediate rate hepatitis A community (epidemics often occur at regular intervals and persist for several years with rates in excess of 50 cases a year per 100,000 population)",https://files.medi-cal.ca.gov/pubsdoco/Publications/masters-MTP/Part2/immun.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD4,Labs,,Payer,Medicaid,California,4/6/23,4/6/23,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD5,Vaccine,,Payer,Medicaid,California,3/13/23,3/13/23,VFC vaccines are billed with administration code 90460 - No components added.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD6,Preventive,,Payer,Medicaid,California,3/10/23,,Use FP modifier for family planning services.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD7,NDC,,Payer,Medicaid,California,3/10/23,,Medi-Cal requires NDC on drug codes.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD8,Vaccine,,Payer,Medicaid,California,3/10/23,,Medi-Cal requires NDC on vaccine codes.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD9,Vaccine,,Payer,Medicaid,California,3/13/23,3/13/23,"90632 must be billed with modifier SK (high risk). Providers must document medical necessity in the Remarks field (Box 80)/Additional Claim Information field (Box 19) of the claim, or as an attachment.",,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD22,Labs,,,Medicaid,California,3/10/23,,The General Health Panel (80050) is not a Medi-Cal benefit. Bill components of the panel individually.,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMCD23,Telehealth Modifiers,Modifiers,Payer,Medicaid,California,4/10/23,4/10/23,Use modifier 93 with POS 02 or 10 for audio only telehealth visits. Use Modifier 95 for audio and video visits with POS 02 or 10.,https://www.dhcs.ca.gov/provgovpart/Documents/Billing-Manual-v-1-1-June-2022.pdf,https://www.dhcs.ca.gov/provgovpart/Documents/Billing-Manual-v-1-1-June-2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COMCD10,Surgery/Female Genital System,OBGYN/Abortion,Payer,Medicaid,Colorado,3/13/23,,"Claims must be submitted with the accurately completed required documentation identifying the affiliated condition associated with the pregnancy. Use modifier G7 - Termination of pregnancy resulting from rape, incest, or certified by physician as life-threatening on abortion codes.",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD11,Surgery/Female Genital System,OBGYN/Family Planning,Payer,Medicaid,Colorado,3/13/23,3/13/23,"When billing for family planning services, such as for contraception provision or sterilization procedures, always include the family planning (FP) modifier next to the appropriate procedure code on claims.        ",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD12,Surgery/Female Genital System,OBGYN/Antepartum,Payer,Medicaid,Colorado,3/13/23,,"If 3 or fewer antepartum visits are performed, the appropriate E/M visit code should be billed, with the TH modifier appended to indicate that the visit is pregnancy-related but outside of the OB global billing code.",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD13,Surgery/Female Genital System,OBGYN/Delivery,Payer,Medicaid,Colorado,3/13/23,,"Billing for Multiple Infants: Include modifier '59' in the first position for Baby B. Use the delivery date as the date of service. A second modifier 'XU' is required for NCCI edits when the following code combinations are billed: 59410 with 59409, 59610 with 59612 or 59614 with 59612.",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD14,Surgery/Female Genital System,OBGYN/Delivery,Payer,Medicaid,Colorado,3/13/23,,"NCCI edits do not allow procedure code 59514 to be combined or billed with codes: 59400, 59409 or 59410.",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD15,Surgery/Female Genital System,OBGYN/Family Planning,Payer,Medicaid,Colorado,3/13/23,,"If surgical procedures are unilateral (not bilateral) and surgery does not result in sterilization, utilize the appropriate right (RT) or left (LT) modifier with the procedure code on claims. When the unilateral procedure does not lead to complete sterilization, the Med 178 Sterilization Consent Form is not required.",https://hcpf.colorado.gov/OB-manual,https://hcpf.colorado.gov/OB-manual,,,,,,,,,,,,,,,,,,,,,,,,
COMCD5,Universal,Drugs,Payer,Medicaid,Colorado,3/13/23,,"A valid national drug code (NDC) number must be included on all claims and encounters for physician-administered drugs.	",,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD6,Surgery/Female Genital System,OBGYN/Family Planning,Payer,Medicaid,Colorado,3/13/23,,Voluntary sterilization is considered a family planning service (requiring the FP modifier with billing). A copy of the CO Medicaid sterilization consent form (MED 178) must be attached to each related claim.,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD8,Vaccine,,Payer,Medicaid,Colorado,5/19/21,,A valid national drug code (NDC) number must be included on all claims for vaccine product codes.        ,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCD16,OBGYN,,Payer,Medicaid,Colorado,11/1/23,11/1/23,"Please report all prental and/or postpartum visits with appropriate 050XF code: 0500F (first prenatal visit), 0501F (use when initial maternity related tests and measurements are recorded and documented/ also can be first prenatal visit), 0502F ( Subsequent prenatal care visit), 0503F (Postpartum care visit) code and the appropriate DOS for each visit.",https://hcpf.colorado.gov/OB-manual#antePost,,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-1,COVID19,,Payer,Cigna,,,,"Providers should bill using a face-to-face evaluation and management code, append the GQ modifier, and use the POS that would be typically billed if the service was delivered face to face.",3/2/20-5/31/20,https://static.cigna.com/assets/chcp/resourceLibrary/medicalResourcesList/medicalDoingBusinessWithCigna/medicalDbwcCOVID-19.html,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-10,COVID19,,Payer,BCBS,North Carolina,3/17/23,3/17/23,"For Online digital evaluation and management encounters for ESTABLISHED patients, report CPT® 99421-99423 with POS 02 or 10.",https://www.bluecrossnc.com/sites/default/files/document/attachment/services/public/pdfs/medicalpolicy/Telehealth_notification.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-11,COVID19,,Payer,BCBS,Florida,3/17/23,3/17/23,Telehealth needs to be billed with a GT or 95 modifier,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-12,COVID19,,Payer,Medicaid,Florida,3/17/23,,Store-and-Forward & Remote Patient Monitoring require modifier CR.,,https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-13,COVID19,,Payer,Medicaid,Florida,3/17/23,,Telephone Communications for New Patients require modifier CG in the first modifier position.,,https://ahca.myflorida.com/Medicaid/pdffiles/provider_alerts/2020_03/Medicaid_Telemedicine_Guidance_20200318.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-15,COVID19,,Payer,Medicare,,3/16/23,3/16/23,"Use the place of service where the provider would normally have performed the visit if the patient had been seen face-to-face (e.g. 11 or 22), NOT POS 02 for all CMS telehealth and telephone services.",,https://www.cms.gov/files/document/covid-final-ifc.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-16,COVID19,,Payer,Medicare,,3/16/23,3/16/23,"Append modifier 95 (Synchronous Telemedicine Service Rendered Via a Real-Time Interactive Audio and Video Telecommunications System) for all telehealth services on Medicare claims. This allows Medicare to pay these visits at the higher Non-Facility fee schedule rate. CMS does allow providers to continue to use POS 02 for all telehealth services, however, this will result in decreased reimbursement under the Facility Fee Schedule.",,https://www.cms.gov/files/document/covid-final-ifc.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-17,COVID19,,Payer,UHC,,,,"Use place of service that would have been reported had the service been furnished in person (11,20,22,23,etc) and modifier 95 for commercial, Medicare Advantage and Medicaid*. Note - for Medicaid, state specific rules for modifiers and POS apply.",,https://www.uhcprovider.com/content/provider/en/viewer.html?file=%2Fcontent%2Fdam%2Fprovider%2Fdocs%2Fpublic%2Fresources%2Fnews%2F2020%2FTelehealth-Patient-Scenarios.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-18,COVID19,,Payer,UHC,,,,,,https://www.uhcprovider.com/content/provider/en/viewer.html?file=%2Fcontent%2Fdam%2Fprovider%2Fdocs%2Fpublic%2Fresources%2Fnews%2F2020%2FTelehealth-Patient-Scenarios.pdf,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-19,COVID19,,Payer,BCBS,Alabama,3/17/23,3/17/23,Codes should be billed with Place of Service Code 10 or 02 – Telehealth. No telehealth modifier is required at this time.,,https://providers.bcbsal.org/portal/documents/10226/3494887/Telehealth+Billing+Guide/b92b12c5-585f-471c-5921-72465c49b16f,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-2,COVID19,,Payer,Cigna,,,,"Billing a POS 02 or GT/95 modifier for virtual services may result in reduced payment or denied claims due to current system limitations. Providers should bill using a face-to-face evaluation and management code, append the GQ modifier, and use the POS that would be typically billed if the service was delivered face to face.",3/2/20-5/31/20,https://static.cigna.com/assets/chcp/resourceLibrary/medicalResourcesList/medicalDoingBusinessWithCigna/medicalDbwcCOVID-19.html,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-20,COVID19,,Payer,BCBS,Alabama,3/17/23,,Codes should be billed with Place of Service Code 10 or 02 – Telehealth. No telehealth modifier is required at this time.,,https://providers.bcbsal.org/portal/documents/10226/3494887/Telehealth+Billing+Guide/b92b12c5-585f-471c-5921-72465c49b16f,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-21,COVID19,,Payer,BCBS,Alabama,3/17/23,3/17/23,Only 99202-99204 and 99211-99214 are approved for telehealth claims.,,https://providers.bcbsal.org/portal/documents/10226/3494887/Telehealth+Billing+Guide/b92b12c5-585f-471c-5921-72465c49b16f,,,,,,,,,,,,,,,,,,,,,,,,
COVID19-22,COVID19,,Payer,Regence BCBS,Oregon,3/17/23,3/17/23,"For Regenece BCBS - Telehealth should be billed with POS 02 or 10, as appropriate and modifier GT. If audio-only, also assign FQ modifier in addition to GT.",,https://www.regence.com/provider/library/whats-new/covid-19#temporary-updates-to-telehealth,,,,,,,,,,,,,,,,,,,,,,,,
