number,identifier,category,rationale
43,FERT,SIS with ultrasound,"76831 includes all ultrasound imaging performed during the hysterosonography procedure. It is not appropriate to separately report transvaginal or pelvic ultrasound (76830, 76856, 76857) performed as an inherent part of the hysterosonogram. If a diagnostic ultrasound is performed as a separate procedure prior to hysterosonography, report the applicable code with modifier -59 appended."
44,FERT,89331 Female,Code 89331 cannot apply to female patients.
45,FERT,89320 Female,Code 89320 cannot apply to female patients.
49,FQHC,G0466 Qualifying Code,An FQHC qualifying visit is present on the encounter. Payment code G0466 (FQHC new patient) may apply.
50,FQHC,Qualifying Visits,"G0466, G0467, G0468 should be billed on a UB-04 with revenue code 0521."
51,FQHC,Mental Health Qualifying Visits,"G0469, G0470 should be billed to Medicare Part A on a UB-04 with revenue code 0900."
52,FQHC,Mental Health Qualifying Visits,"G0469, G0470 should be billed on a UB-04 with revenue code 0900."
53,FQHC,G0466 Qualifying Visit,An FQHC qualifying visit for G0466 is not present. Review coding.
54,FQHC,G0467 qualifying visit,An FQHC qualifying visit for G0467 is not present. Review coding.
55,FQHC,G0468 qualifying visit,An FQHC qualifying visit for G0468 is not present. Review coding.
56,FQHC,"G0469, G0470 Qualifying Visit","An FQHC qualifying visit for G0469, G0470 is not present. Review coding."
57,FQHC,Independent FQHC Labs,Labs are billed on CMS-1500 claim form to Medicare Part B.
58,FQHC,93000 - Medicare,93000 is not billed in an FQHC - Split claim for the technical (93005) and professional component (93010).
59,FQHC,93005 - Medicare,93005 - The technical component of the ECG is billed on CMS-1500 claim form to Medicare Part B.
60,FQHC,G0466 Qualifying Code,An FQHC qualifying visit is present on the encounter. Payment code G0466 (FQHC new patient) may apply.
61,FQHC,93010 - Medicare,93010 - The professional component of the ECG is billed with a qualifying visit on UB-04 claim form to Medicare Part A with revenue code 0730.
62,FQHC,Wellcare POS,Place of Service codes 11 (Office) or 99 (Other Place of service) are not accepted when rendering service in a FQHC.
63,FQHC,G0467 Qualifying Visit,An FQHC qualifying visit is present on the encounter. Payment code G0467 (FQHC established patient) may apply.
64,FQHC,G0467 Qualifying Visit,An FQHC qualifying visit is present on the encounter. Payment code G0467 (FQHC established patient) may apply.
65,FQHC,G0468 Qualifying Visit,An FQHC qualifying visit is present on the encounter. Payment code G0468 (FQHC IPPE or AWV) may apply.
66,FQHC,G0468 Qualifying Visit,An FQHC qualifying visit is present on the encounter. Payment code G0468 (FQHC IPPE or AWV) may apply.
67,FQHC,"G0469, G0470 Qualifying Visit","An FQHC qualifying visit is present on the encounter. Payment code G0469 (FQHC mental health, new patient) or G0470 (FQHC mental health, established patient) may apply."
68,FQHC,"G0469, G0470 Qualifying Visit","An FQHC qualifying visit is present on the encounter. Payment code G0469 (FQHC mental health, new patient) or G0470 (FQHC mental health, established patient)may apply."
69,FQHC,Qualifying Visits,"G0466, G0467, G0468 should be billed to Medicare Part A on a UB-04 with revenue code 0521."
70,MCD:GA,Medicaid Authorization,Medicaid may require authorization after patient has exceeded 10 visits
71,MCD:GA,Medicaid Authorization,Modifier 25 should be added when a vaccine is administered during the preventive visit.
72,MCD:GA,"99211, 99212 with preventive visit",Modifier EP and 25 should be added to the Office/Outpatient code when provided on the same day as the EPSDT Periodic visit. Assign ONLY the appropriate sick codes to the Office/Outpatient E/M.
73,MCD:GA,E/M with preventive visit,Georgia Medicaid and most CMOs will only allow 99211 or 99212 when provided on the same day as the EPSDT Periodic visit.
74,MCD:GA,83655 with preventive visit - 12 and 24 months,83655 - Assign dx Z13.88 to 83655 with EP modifier. Providers must also bill 36415 or 36416 for the Lead Tests per Medicaid/Medicaid CMO guidelines.
75,MCD:GA,EP modifier on E/M with vaccines,"When vaccines are administered during the interperiodic visit, code the EPSDT interperiodic visit (9920X, 9921X) with the EP and 25 modifiers."
76,MCD:GA,Interperiodic Vision Screening,99173 - Use EP modifier and Z01.00 or Z01.01 or appropriate abnormal results code when performed during an interperiodic visit.
77,MCD:GA,Interperiodic Hearing Screening,"V5008, 92551-92553, 92555-92556 - Use EP modifier and Z01.10, Z01.110 or Z01.118 or appropriate abnormal results code when performed during an interperiodic visit."
78,MCD:GA,Developmental Screenings,"Developmental Screening - Providers must bill code 96110 with the EP modifier and the appropriate preventive ICD-10 diagnosis code (Z00.121, Z00.129, or Z02-Z02.89) at 9, 18, and 30 months. Catch up visits should be coded with EP, HA."
79,MCD:GA,Autism Screenings,"Autism Screening - Providers must bill code 96110 with the EP, UA modifiers and Z13.41 or the applicable ICD-10 diagnosis code to receive reimbursement for the screening. For Peach State encounters, assign Z00.XX code first and Z13.41 as secondary."
80,MCD:GA,Autism Screenings,"Autism screenings should be performed at the 18 and 24 month periodic visits (or catch-up visits). Providers must bill code 96110 with the EP, UA or EP, UA, HA modifiers and Z13.41 or the applicable ICD-10 diagnosis code to receive reimbursement for the screening. Do not assign Z13.41 for Peach State encounters. Use the appropriate Z00.XX code instead."
81,MCD:GA,Medicaid Authorization,Medicaid requires authorization on claim for Inpatient Hospital visits.
82,MCD:GA,Brief Emotional/Behavioral Assessments,"Providers should bill code 96127 with the EP modifier, POS 99 and the appropriate ICD-10 diagnosis code in order to receive reimbursement."
83,MCD:GA,Patient-Focused Health Risk Assessments,"Providers should bill procedure code 96160 with the EP modifier, POS 99 and the appropriate ICD-10 diagnosis code in order to receive reimbursement. Amerigroup allows POS 11 with EP modifier."
85,MCD:GA,Consultation Codes,"Providers enrolled in the EPSDT Program, may bill for reimbursement of the following office/outpatient consultation codes: 99242, 99243, 99244, 99245. The EP modifier must be added to the applicable code along any other applicable modifiers."
86,MCD:GA,Tobacco Cessation Counseling Services,"EP modifier must be added to 99406, 99407 for the reimbursement of tobacco cessation counseling."
87,MCD:GA,GA Medicaid Vaccines,"Providers should bill vaccine administration and product codes with EP modifiers, POS 99 and Z23. Assign ONLY the Z23 dx code."
88,MCD:GA,Tuberculin (TB) Skin Test,"Providers should bill procedure code 85680 with the EP modifier, POS 99 and the Z11.1 in order to receive reimbursement."
89,MCD:GA,Family Planning,Family Planning - The FP modifier and dx codes must be used on all applicable CPTs when visit was for family planning services. Assign family planning dx only to appropriate codes.
92,MCD:GA,Waste Billing,JW/JZ modifiers - Use is not required on claims that are direct submission to Medicaid. Claims submitted directly to Medicaid with JW/JZ modifier will deny.
93,MCD:GA,GA Medicaid CMO referring provider,Medicaid CMO plans may require the ordering/referring provider information. Add referring provider.
94,MCD:GA,GA Medicaid referring provider,Georgia Medicaid may require the ordering/referring provider information. Add referring provider for Medicaid.
95,MCD:GA,GA Medicaid - nursing home revenue code,GA Medicaid requires 0521 revenue code for nursing home visits.
96,MCD:GA,96160-96161 with Vaccines,Georgia Medicaid/Medicaid CMOs does not allow reimbursement of the 96160/96161 codes when either is billed together with any of the vaccine administration codes unless the 59 modifier is appended to the 96160 and 96161 codes
97,MCD:GA,99211 with vaccines,GA Medicaid does not allow reimbursement of the 99211 code when it is billed together with any of the vaccine administration codes
98,MCD:GA,GA Medicaid preventive visits,All preventive visits must be coded with the EP modifier and place of service 99. Amerigroup allows POS 11 with EP modifier.
99,ICD:CM,Bilateral CTS,"For bilateral carpal tunnel syndrome, use G56.03."
100,ICD:CM,R06.0 Excludes1,R06.00-09 (Dyspnea) with R06.82 (tachypnea NOS) and/or P22.1 (transient tachypnea of newborn) identify conditions that cannot be reported together except when the conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
101,ICD:CM,J41 Excludes1,J41.0-8 (Simple and mucopurulent chronic bronchitis) with J42 (chronic bronchitis NOS) and/or J44-J44.9 (chronic obstructive bronchitis) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
102,ICD:CM,Bilateral cataracts,"For bilateral cataracts (H25.81X), use H25.813"
103,ICD:CM,Bilateral cataracts,"For bilateral cataracts (H25.1X), use H25.13."
104,ICD:CM,G89.2 Excludes1,"G89.2 (Chronic pain, not elsewhere classified) with causalgia, lower limb (G57.7-), causalgia, upper limb (G56.4-), central pain syndrome (G89.0), chronic pain syndrome (G89.4), complex regional pain syndrome II, lower limb (G57.7-), complex regional pain syndrome II, upper limb (G56.4-), neoplasm related chronic pain (G89.3), and/or reflex sympathetic dystrophy (G90.5-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
105,ICD:CM,M54.2 Excludes1,Cervicalgia (M54.2) with cervicalgia due to intervertebral cervical disc disorder (M50.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
106,ICD:CM,E08 Exlcudes1,"Diabetes mellitus due to underlying condition (E08.-) with drug or chemical induced diabetes mellitus (E09.-), gestational diabetes (O24.4-), neonatal diabetes mellitus (P70.2), postpancreatectomy diabetes mellitus (E13.-), postprocedural diabetes mellitus (E13.-), secondary diabetes mellitus NEC (E13.-), type 1 diabetes mellitus (E10.-), and/or type 2 diabetes mellitus (E11.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
107,ICD:CM,G30 Excludes1,"Alzheimers disease (G30.-) with senile degeneration of brain NEC (G31.1), senile dementia NOS (F03-F03.91), and/or senility NOS (R41.81) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
108,ICD:CM,R63.5 Excludes1,Abnormal weight gain (R63.5) with excessive weight gain in pregnancy (O26.0-) and/or obesity (E66.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
109,ICD:CM,R41 Excludes1,"Other symptoms and signs involving cognitive functions and awareness (R41.-) with dissociative [conversion] disorders (F44.-) and/or mild cognitive impairment, so stated (G31.84) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
110,ICD:CM,J00 Excludes1,"J00 Acute nasopharyngitis [common cold] excludes codes J02-J02.9, J31.0. J00 should not be reported with these codes."
111,ICD:CM,R41.3 Excludes1,"Other amnesia (R41.3) should not be billed with F04, F1*, F06.8 or G45.4"
112,ICD:CM,G43 Excludes1,Migraine (G43.-) with headache NOS (R51.9) and/or lower half migraine (G44.00) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
113,ICD:CM,G43.0 Excludes1,Migraine without aura (G43.0) with chronic migraine without aura (G43.7-G43.719) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
114,ICD:CM,Z72.821 Excludes1,"Inadequate sleep hygiene (Z72.821) with insomnia (F51.0-F51.09, G47.0-G47.09) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
115,ICD:CM,M54.1 Excludes1,"Radiculopathy (M54.1-) with neuralgia and neuritis NOS (M79.2), radiculopathy with cervical disc disorder (M50.1-M50.13), radiculopathy with lumbar and other intervertebral disc disorder (M51.1-M51.17), and/or radiculopathy with spondylosis (M47.2-M47.28) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
116,ICD:CM,M54.5 Excludes1,"Low back pain (M54.5x) with low back strain (S39.012), lumbago due to intervertebral disc displacement (M51.2-), and/or lumbago with sciatica (M54.4-) identify conditions that cannot be reported together. Remove M54.5x"
117,ICD:CM,Z00 Excludes 1,"Encounter for general examination without complaint, suspected or reported diagnosis (Z00) with encounter for examination for administrative purposes (Z02.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
118,ICD:CM,E10 Excludes1,"Type1 diabetes mellitus(E10) with diabetes mellitus due to underlying condition(E08.-), drug or chemical induced diabetes mellitus(E09.-), gestational diabetes (O24.4-), elevated blood glucose (R73.-), neonatal diabetes mellitus(P70.2), postpancreatectomy diabetes mellitus(E13.-), postprocedural diabetes mellitus(E13.-), secondary diabetes mellitus NEC(E13.-), and/or type 2 diabetes mellitus(E11.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
119,ICD:CM,E11 Excludes1,"Type 2 diabetes mellitus (E11) with diabetes mellitus due to underlying condition (E08.-), drug or chemical induced diabetes mellitus (E09.-), gestational diabetes (O24.4-), elevated blood glucose (R73.-), neonatal diabetes mellitus (P70.2), postpancreatectomy diabetes mellitus (E13.-), postprocedural diabetes mellitus (E13.-), secondary diabetes mellitus NEC (E13.-), and/or type 1 diabetes mellitus (E10.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
120,ICD:CM,E09 Excludes1,"Drug or chemical induced diabetes mellitus (E09) with diabetes mellitus due to underlying condition (E08.-), gestational diabetes (O24.4-), elevated blood glucose (R73.-), neonatal diabetes mellitus (P70.2), postpancreatectomy diabetes mellitus (E13.-), postprocedural diabetes mellitus (E13.-), secondary diabetes mellitus NEC (E13.-), type 1 diabetes mellitus (E10.-), and/or type 2 diabetes mellitus (E11.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
121,ICD:CM,"Lesion of ulnar nerve, bilateral upper limbs","For lesion of ulnar nerve, bilateral upper limbs, use G56.23"
122,ICD:CM,G31.84 Excludes1,"Mild cognitive impairment, so stated (G31.84) with age related cognitive decline (R41.81), altered mental status (R41.82), cerebral degeneration (G31.9), change in mental status (R41.82), cognitive deficits following (sequelae of) cerebral hemorrhage or infarction (I69.01-, I69.11-, I69.21-, I69.31-, I69.81-, I69.91-), cognitive impairment due to intracranial or head injury (S06.-), dementia (F01.-, F02.-, F03), mild memory disturbance (F06.8), neurologic neglect syndrome (R41.4), and/or personality change, nonpsychotic (F68.8) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
123,ICD:CM,J45 Excludes1,"Asthma (J45) with detergent asthma (J69.8), eosinophilic asthma (J82), miners asthma (J60), wheezing NOS (R06.2), and/or wood asthma (J67.8) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
124,ICD:CM,Z72.0 Excludes1,"Tobacco use (Z72.0) with history of tobacco dependence (Z87.891), nicotine dependence (F17.2-), tobacco dependence (F17.2-), and/or tobacco use during pregnancy (O99.33-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
125,ICD:CM,N39.0 Excludes1,"Urinary tract infection, site not specified (N39.0) with candidiasis of urinary tract (B37.4-), neonatal urinary tract infection (P39.3), and/or urinary tract infection of specified site, such as: cystitis (N30.-), urethritis (N34.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
126,ICD:CM,R06 Excludes1,"Abnormalities of breathing (R06) with acute respiratory distress syndrome (J80), respiratory arrest (R09.2), respiratory arrest of newborn (P28.81), respiratory distress syndrome of newborn (P22.-), respiratory failure (J96.-), and/or respiratory failure of newborn (P28.5) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
127,ICD:CM,Bilateral Primary OA of Knee,"For Bilateral Primary OA of Knee, use M17.0."
128,ICD:CM,F20 Excludes1,"Schizophrenia (F20) and brief psychotic disorder, cyclic schizophrenia (F25.0), mood [affective] disorders with psychotic features (F30.2, F31.2, F31.5, F31.64, F32.3, F33.3), schizoaffective disorder (F25.-), and schizophrenic reaction NOS (F23) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
129,ICD:CM,F30 Excludes1,"Manic Episode (F30) and bipolar disorder (F31.-), major depressive disorder, recurrent (F33.-), and/or major depressive disorder, single episode (F32.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
130,ICD:CM,F31 Excludes1,"Bipolar Disorder (F31.-) and bipolar disorder, single manic episode (F30.-), major depressive disorder, recurrent (F33.-), and/or major depressive disorder, single episode (F32.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
131,ICD:CM,H72.00 - unspecified ear,"H72.00 - Central perforation of tympanic membrane, unspecified ear. Update to a specified code if possible. H72.01 (right ear), H72.02 (left ear), or H72.03 (bilateral ear)."
132,ICD:CM,F32 Excludes1,"Major depressive disorder, single episode (F32.-) and bipolar disorder (F31.-), manic episode (F30.-), and/or recurrent depressive disorder (F33.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
133,ICD:CM,F33 Excludes1,"Major depressive disorder, recurrent (F33.-) and bipolar disorder (F31.-) and/or manic episode (F30.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
134,ICD:CM,F41.0 Excludes1,Panic disorder [episodic paroxysmal anxiety] (F41.0) and panic disorder with agoraphobia (F40.01) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note
135,ICD:CM,F84.0 Excludes1,Autistic disorder (F84.0) and Aspergers syndrome (F84.5) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note
136,ICD:CM,R46.81 Excludes1,Obsessive-compulsive behavior (R46.81) and obsessive-compulsive disorder (F42-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note.
137,ICD:CM,F03 Excludes1,Unspecified dementia (F03) and senility NOS (R41.81) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
138,ICD:CM,F10.1 Excludes1,"Alcohol abuse (F10.1) and alcohol dependence (F10.2-), alcohol use, unspecified (F10.9-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note."
139,ICD:CM,F11.1 Excludes1,"Opioid abuse (F11.1) and opioid dependence (F11.2-), and/or opioid use, unspecified (F11.9-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note."
140,ICD:CM,Z31.89 Excludes2,"Encounter for other procreative management (Z31.89) and complications associated with artificial fertilization (N98.-), female infertility (N97.-), or male infertility (N46.-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes 2 note guideline."
141,ICD:CM,M78.12 Excludes1,"Complete rotator cuff tear or rupture not specified as traumatic (M75.12) and ear of rotator cuff, traumatic (S46.01-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
142,ICD:CM,J30.9 Excludes1 Guidelines,J30.9 with J45.909 and/or J31.0 identify two conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 guideline.
143,ICD:CM,J06.9 Excludes1 Guidelines,J06.9 with J22 and/or J02.0 identify two conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 guideline.
144,ICD:CM,R07.0 Excludes 1,R07.0 (Pain in throat) with J02.9 (sore throat (acute) NOS) and/or J31.2 (chronic sore throat) identify conditions that cannot be reported together except when the conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
145,ICD:CM,M51.16 Excludes1,"M51.16 (Intervertebral disc disorders with radiculopathy, lumbar region) with M54.16 (lumbar radiculitis NOS) and/or M54.3 (sciatica NOS) identify two conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
146,ICD:CM,M54.3 Excludes1,"M54.3 (Sciatica) with M57.0-G57.02 (lesion of sciatic nerve), M51.1-M51.17 (sciatica due intervertebral disc disorder), and/or M54.4-M54.42 (sciatica with lumbago) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline."
147,MCD:IL,T1015,Use T1015 as the first listed CPT code with CPT codes listed as informational codes.
148,MCD:IL,POS/claim type,RHC office claims are billed with POS 72 on 1500 claim form.
149,MCD:IL,T1015 with S5190,"S5190 - Wellness assessment, performed by non-physician cannot be billed with T1015."
150,MCD:IL,Vaccines without qualifying visit,"Bill the VFC vaccine with the Wellness Visit procedure code, S5190, when a child presents solely for the injection."
151,MCD:IL,Originating Site: Telehealth,"RHC Telehealth Originating site: Bill T1015, Q3014"
152,MCD:IL,Qualifying visit,An RHC qualifying visit is not present - bundle with qualifying visit.
153,MCD:IL,NDC requirement,Illinois Medicaid requires NDC information.
154,MCD:IL,99211 for vaccines only,Bill 99211 or other outpatient visit for evaluation and management not requiring the presence of a physician and bill the specific vaccine procedure codes.
155,MCD:IL,T1015 in non-RHC setting,T1015 is used for encounter billing only - review CPT vs place of service.
156,INTEG,11045 - Add-on code,11045 is missing the primary procedure. Use 11045 in conjunction with 11042.
157,INTEG,13133 - Add-on code,"13133 is missing the primary procedure code. Use 13133 in conjunction with 13132 (Repair, complex, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands and/or feet, 2.6 cm to 7.5 cm) for each additional 5 cm."
158,INTEG,13153 - Add-on code,"13153 is missing the primary procedure code. Use 13153 in conjunction with 13152 (Repair, complex, eyelids, nose, ears and/or lips, 2.6 cm to 7.5 cm) for each additional 5 cm."
159,INTEG,11008 - Add-on code,"11008 is missing the primary procedure code. Use 11008 in conjunction with 10180, 11004-11006."
160,INTEG,CPT Code Section (15851-15854),"Review procedure performed under anesthesia (other than local) billed in an office setting. See CPT 15853 (removal of sutures OR staples not requiring anesthesia) /15854 (Removal of sutures AND staples, not requiring anesthesia)."
161,INTEG,11046 - Add-on code,11046 is missing the primary procedure. Use 11046 in conjunction with 11043
162,INTEG,11047 - Add-on code,11047 is missing the primary procedure. Use 11047 in conjunction with 11044.
163,INTEG,11103 - Add-on code,"11103 is missing the primary procedure. Report 11103 in conjunction with 11102, 11104, 11106, ."
164,INTEG,11105 - Add-on code,"11105 is missing the primary procedure. Report 11105 in conjunction with 11104, 11106."
165,INTEG,11107 - Add-on code,11107 is missing the primary procedure. Report 11107 in conjunction with 11106.
166,INTEG,11201 - Add-on code,11201 is missing the primary procedure. Use 11201 in conjunction with 11200.
167,INTEG,13122 - Add-on code,"13122 is missing the primary procedure code. Use 13122 in conjunction with 13121 (Repair, complex, scalp, arms, and/or legs, 2.6 cm to 7.5 cm) for each additional 5 cm."
168,INTEG,13102 - Add-on code,13102 is missing the primary procedure code. Use 13102 in conjunction with 13101
169,LABS,87804 Units,Adjust units for 87804 when testing for Flu A and Flu B
170,LABS,Drug Testing - Medical Necessity,Drug Testing - ICD-10 codes that support medical necessity may not be present. Review diagnosis coding and payer policy.
171,LABS,Bilirubin ICD-10-CM Code,"82247, 88720 - Use Z13.228 (Encounter for screening for other metabolic disorder) if performed during routine well-child visit without a medical dx to cover lab being performed. (Ex: Jaundice)"
172,LABS,Dyslipidemia Screening ICD-10-CM Code,"80061, 82465, 83718, 84478 - Use Z13.220 (Encounter for screening for lipid disorders) if performed during routine well-child visit without a medical dx to cover lab being performed."
173,LABS,Anemia Screening ICD-10-CM Code,"85018 - Use Z13.0 (Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (eg, anemia)) if performed during routine well-child visit."
174,LABS,Lead Screening CPT® Code,83655 - Use Z13.88 (Encounter for screening for disorder due to exposure to contaminants) if performed as a screening.
